time_s,vx_ms,vy_ms,pitch_deg,roll_deg
22.200004,-0.040348,-0.012262,-2.090000,-2.000000
22.300009,-0.060378,-0.036844,-1.970000,-2.110000
22.399977,-0.036308,-0.040402,-2.200000,-2.050000
22.499982,-0.038435,-0.015875,-2.420000,-1.820000
22.600008,-0.028991,-0.018503,-2.580000,-1.750000
22.699977,-0.034520,-0.006027,-2.480000,-1.840000
22.800004,-0.037796,-0.012316,-2.230000,-1.940000
22.900018,-0.015198,-0.012894,-2.090000,-1.900000
23.000047,-0.007310,-0.009078,-2.050000,-1.910000
23.100002,-0.007881,-0.011653,-2.060000,-1.970000
23.200001,-0.003967,-0.032013,-2.060000,-2.330000
23.300012,0.022319,-0.000032,-2.210000,-2.420000
23.399999,0.017865,0.001249,-2.310000,-2.320000
23.500029,0.034020,0.000191,-2.340000,-1.870000
23.599998,0.023333,0.021985,-2.220000,-1.150000
23.699991,0.003474,0.032320,-2.050000,-0.680000
23.800000,0.009508,0.047978,-1.730000,-0.600000
23.900005,-0.003843,0.038079,-1.660000,-0.750000
24.000002,-0.051778,0.044427,-1.590000,-0.870000
24.100014,-0.049813,0.024347,-1.540000,-1.440000
24.199995,-0.074616,0.022258,-1.680000,-2.270000
24.300043,-0.055164,0.026103,-1.590000,-2.870000
24.399998,-0.014927,-0.017207,-1.700000,-3.160000
24.500004,-0.017801,-0.019924,-1.670000,-3.130000
24.600008,0.006668,-0.039631,-1.720000,-2.810000
24.700004,0.018982,-0.040077,-2.120000,-2.600000
24.800004,0.017938,-0.040137,-2.350000,-2.590000
24.900030,0.046099,-0.038534,-2.550000,-2.510000
24.999978,0.082530,-0.046734,-2.860000,-2.500000
25.099998,0.067093,-0.051686,-2.930000,-2.450000
25.200084,0.074155,-0.039565,-2.830000,-2.350000
25.300042,0.077931,-0.036228,-2.680000,-2.050000
25.400007,0.057665,-0.023081,-2.720000,-1.260000
25.499995,0.036385,0.014453,-3.070000,-0.570000
25.600007,0.044881,0.006636,-3.310000,-0.370000
25.699998,0.015766,0.009313,-3.490000,-0.410000
25.800030,-0.021612,0.054816,-3.320000,-0.890000
25.899991,-0.008342,0.080588,-3.030000,-1.710000
25.999978,-0.029421,0.056997,-2.470000,-2.760000
26.100006,-0.026738,0.106975,-2.360000,-2.900000
26.200005,-0.009025,0.122238,-2.740000,-2.770000
26.299981,-0.031850,0.146119,-2.830000,-2.690000
26.400007,-0.003492,0.143249,-2.600000,-2.790000
26.500002,0.011205,0.116691,-2.060000,-3.490000
26.600013,0.040560,0.142981,-1.570000,-3.460000
26.700006,0.056333,0.104380,-0.970000,-3.500000
26.800000,0.070471,0.118775,-0.770000,-3.130000
26.899976,0.081768,0.064933,-0.750000,-2.980000
27.000015,0.088193,0.072626,-0.760000,-3.050000
27.100032,0.115546,0.048859,-0.550000,-3.320000
27.200026,0.115065,0.016192,-0.110000,-3.160000
27.299987,0.142194,-0.050500,0.090000,-2.750000
27.400008,0.139926,-0.096330,-0.160000,-2.220000
27.500007,0.115752,-0.095580,-0.800000,-1.660000
27.599989,0.117278,-0.113803,-1.500000,-1.140000
27.700002,0.103621,-0.135190,-2.130000,-0.610000
27.800005,0.062271,-0.120392,-2.580000,-0.090000
27.900006,0.039199,-0.100566,-2.990000,-0.020000
27.999974,-0.006165,-0.087691,-3.180000,-0.530000
28.099997,-0.020364,-0.039910,-3.080000,-1.340000
28.200030,-0.021701,-0.024216,-2.980000,-1.850000
28.300010,-0.027464,-0.024515,-2.820000,-2.080000
28.400002,-0.011781,-0.012413,-2.880000,-1.890000
28.499977,-0.030420,0.006722,-2.460000,-1.850000
28.599975,-0.013252,0.001804,-2.260000,-1.800000
28.700005,-0.026303,-0.008915,-2.380000,-1.810000
28.799975,-0.029705,-0.000215,-2.550000,-1.910000
28.900038,-0.027831,-0.026809,-2.670000,-1.720000
28.999995,-0.014593,0.000114,-2.730000,-1.470000
29.099973,-0.055724,0.020456,-2.590000,-1.460000
29.200038,-0.031893,0.015883,-2.300000,-1.400000
29.300010,-0.061692,-0.014444,-2.190000,-1.550000
29.400037,-0.061338,0.013526,-2.290000,-1.410000
29.500042,-0.097093,-0.007613,-2.310000,-1.500000
29.600005,-0.067348,-0.012377,-2.370000,-1.600000
29.699998,-0.078420,-0.018232,-2.530000,-1.610000
29.799980,-0.076166,0.001249,-2.540000,-1.830000
29.899977,-0.089102,-0.017713,-2.520000,-1.730000
30.000003,-0.080464,0.013518,-2.580000,-1.960000
30.099988,-0.087964,0.013210,-2.560000,-2.270000
30.200003,-0.065810,0.027222,-2.530000,-2.290000
30.300012,-0.050331,-0.009361,-2.510000,-2.310000
30.400006,-0.070963,-0.000535,-2.250000,-2.340000
30.500003,-0.058660,0.024047,-2.240000,-2.400000
30.600030,-0.017136,-0.000745,-2.260000,-2.420000
30.699974,-0.028312,-0.019929,-2.270000,-2.220000
30.799998,-0.022437,-0.021007,-2.390000,-1.960000
30.900039,-0.001337,-0.022645,-2.640000,-1.830000
31.000003,-0.025489,0.017797,-2.790000,-1.750000
31.099974,-0.005613,0.044233,-2.560000,-1.680000
31.200022,0.003876,0.007635,-2.220000,-1.620000
31.300043,-0.030658,0.002624,-2.130000,-1.540000
31.400002,-0.031704,-0.000817,-2.340000,-1.460000
31.499999,-0.041284,0.051133,-2.720000,-1.500000
31.600041,-0.054370,0.020395,-2.640000,-1.580000
31.700018,-0.078035,0.035973,-2.590000,-1.700000
31.800002,-0.043865,0.023801,-2.250000,-1.860000
31.899977,-0.032839,0.033155,-2.370000,-1.990000
32.000003,-0.041791,0.024484,-2.370000,-1.960000
32.099975,-0.055090,0.039343,-2.330000,-2.010000
32.200000,-0.060220,0.031348,-1.950000,-2.440000
32.300050,-0.012551,0.031823,-1.630000,-2.910000
32.400037,-0.027571,-0.017806,-1.650000,-3.040000
32.500001,-0.027844,0.033353,-2.120000,-2.770000
32.599976,-0.003375,0.005634,-2.200000,-2.540000
32.699998,-0.017188,0.024205,-2.270000,-2.340000
32.800001,0.008127,-0.017079,-2.360000,-2.170000
32.900035,0.031831,-0.019192,-2.350000,-2.180000
32.999987,0.031753,-0.039600,-2.300000,-2.350000
33.099979,-0.015596,-0.076296,-2.300000,-2.230000
33.200015,-0.012968,-0.013722,-2.510000,-2.250000
33.299981,0.040952,-0.025319,-2.550000,-2.540000
33.400013,0.045129,-0.060265,-2.230000,-2.600000
33.499983,0.037967,-0.007905,-2.180000,-2.340000
33.600005,0.057382,-0.033930,-2.350000,-2.050000
33.700004,0.016674,-0.018515,-2.270000,-1.110000
33.800013,0.016564,0.031375,-2.490000,-0.100000
33.900008,-0.014898,-0.011869,-2.630000,-0.100000
34.000047,-0.046158,-0.050595,-2.280000,-1.310000
34.099972,-0.087435,0.015389,-1.800000,-2.500000
34.200032,-0.064660,-0.013279,-1.630000,-3.130000
34.300044,-0.037963,-0.043697,-2.020000,-3.170000
34.399990,-0.069098,-0.031653,-2.630000,-2.820000
34.500048,-0.044669,-0.044701,-3.070000,-2.940000
34.600004,-0.045666,0.015500,-3.300000,-3.520000
34.700001,0.008370,-0.001010,-3.150000,-3.960000
34.799999,0.020952,0.061503,-3.220000,-3.850000
34.900004,0.055264,0.014032,-2.840000,-3.820000
34.999974,0.051769,0.066949,-2.240000,-3.430000
35.100001,0.083048,0.058302,-1.840000,-2.800000
35.200032,0.104788,0.017803,-1.610000,-2.350000
35.300037,0.092211,0.035199,-1.660000,-2.020000
35.399985,0.122941,0.009655,-1.680000,-2.050000
35.499985,0.108003,0.006877,-1.710000,-1.980000
35.600008,0.078932,0.041527,-1.760000,-1.910000
35.699982,0.111072,0.000622,-1.590000,-1.680000
35.800020,0.090053,-0.051557,-1.300000,-1.400000
35.900006,0.064185,-0.038791,-1.420000,-0.920000
36.000006,0.062955,-0.051056,-1.610000,-0.750000
36.099997,0.036526,-0.081709,-1.690000,-0.950000
36.200007,0.001810,-0.044084,-1.820000,-1.110000
36.299988,0.027123,-0.048926,-1.870000,-1.280000
36.400028,0.022458,-0.078304,-2.090000,-1.310000
36.500006,-0.010733,-0.064986,-2.270000,-1.350000
36.600015,-0.017275,-0.020814,-2.640000,-1.510000
36.700004,-0.016910,-0.052289,-2.710000,-1.860000
36.800005,-0.029895,-0.027719,-2.660000,-2.020000
36.900009,-0.032983,-0.030775,-2.630000,-1.910000
37.000043,-0.015033,-0.030391,-2.580000,-1.650000
37.099980,-0.028445,-0.036565,-2.430000,-1.690000
37.200014,-0.009868,-0.002303,-2.490000,-1.620000
37.300028,-0.053276,0.021452,-2.570000,-1.880000
37.400003,-0.013123,0.034396,-2.780000,-1.950000
37.500009,-0.010383,0.049398,-2.600000,-2.110000
37.600005,0.008352,0.005716,-2.200000,-2.260000
37.700007,0.011683,0.034762,-1.780000,-1.990000
37.799982,0.034197,0.021716,-1.660000,-1.560000
37.899977,-0.005000,0.017910,-1.590000,-1.070000
38.000031,-0.030006,0.043001,-1.610000,-0.800000
